项目,轮次,时间,运动员1,运动员2,运动员3,运动员4,得分1,得分2
Men's Doubles , 16, 17:30 - 19/1/2012 , XU Xin, ZHANG Jike , LEGOUT Christophe, SALIFOU Abdel-Kader ,3, 0
Men's Doubles , 16, 17:30 - 19/1/2012 , ROGIERS Benjamin, VOSTES Yannick , GAO Ning, LI Hu ^ ,3, 1
Men's Doubles , 16, 17:30 - 19/1/2012 , JIANG Tianyi, LEUNG Chu Yan , FEGERL Stefan, FENG Xiaoquan ,3, 1
Men's Doubles , 16, 17:30 - 19/1/2012 , TSE Ka Chun, WONG Chun Ting , JUNG Youngsik, KIM Minseok ,3, 1
Men's Doubles , 16, 17:30 - 19/1/2012 , CHEN Qi, MA Lin , CHIANG Hung-Chieh, HUANG Sheng-Sheng ,3, 0
Men's Doubles , 16, 17:30 - 19/1/2012 , LEE Sangsu, SEO Hyundeok , ZOMBORI David, ZWICKL Daniel ,3, 2
Men's Doubles , 16, 17:30 - 19/1/2012 , YANG Zi, ZHAN Jian ^ , CAMPOS Jorge, PEREIRA Andy ,3, 2
Men's Doubles ,Quarter Final, 12:15 - 20/1/2012 , XU Xin, ZHANG Jike , ROGIERS Benjamin, VOSTES Yannick ,4, 0
Men's Doubles ,Quarter Final, 12:15 - 20/1/2012 , JIANG Tianyi, LEUNG Chu Yan , TSE Ka Chun, WONG Chun Ting ,4, 3
Men's Doubles ,Quarter Final, 12:15 - 20/1/2012 , CHEN Qi, MA Lin , LEE Sangsu, SEO Hyundeok ,4, 3
Men's Doubles ,Semi Final, 16:45 - 20/1/2012 , XU Xin, ZHANG Jike , JIANG Tianyi, LEUNG Chu Yan ,4, 2
Men's Doubles ,Semi Final, 16:45 - 20/1/2012 , CHEN Qi, MA Lin , LI Ahmet ^, VANG Bora ,4, 3
