项目,轮次,时间,运动员1,运动员2,得分1,得分2
Men's Singles , 16, 19:00 - 24/11/2011 , MA Long , OH Sangeun,4, 0
Men's Singles , 16, 19:00 - 24/11/2011 , CHUANG Chih-Yuan , MIZUTANI Jun,4, 3
Men's Singles , 16, 19:00 - 24/11/2011 , WANG Hao , DRINKHALL Paul,4, 1
Men's Singles , 16, 21:00 - 24/11/2011 , MA Lin , GAO Ning,3, 4
Men's Singles , 16, 21:00 - 24/11/2011 , RYU Seungmin , OVTCHAROV Dimitrij,4, 1
Men's Singles , 16, 21:00 - 24/11/2011 , KISHIKAWA Seiya , ZHANG Jike,2, 4
Men's Singles ,Quarter Final, 14:00 - 26/11/2011 , MA Long , CHUANG Chih-Yuan,4, 0
Men's Singles ,Quarter Final, 14:00 - 26/11/2011 , WANG Hao , XU Xin,4, 3
Men's Singles ,Quarter Final, 15:00 - 26/11/2011 , GAO Ning , RYU Seungmin,4, 0
Men's Singles ,Quarter Final, 15:00 - 26/11/2011 , WANG Liqin , ZHANG Jike,1, 4
Men's Singles ,Semi Final, 15:00 - 27/11/2011 , MA Long , WANG Hao,4, 2
Men's Singles ,Semi Final, 17:00 - 27/11/2011 , GAO Ning , ZHANG Jike,1, 4
Men's Singles ,Final, 19:00 - 27/11/2011 , MA Long , ZHANG Jike,4, 1
