项目,轮次,时间,运动员1,运动员2,运动员3,运动员4,得分1,得分2
Women's Doubles , 16, 11:10 - 29/5/2015 , MATSUMOTO Yuki, NAKAJIMA Misaki , LI Ching Wan, SOO Wai Yam Minnie ,3, 2
Women's Doubles , 16, 11:10 - 29/5/2015 , LIU Qi, MAK Tze Wing , BALATBAT Sendrina, LARIBA Ian ,3, 1
Women's Doubles , 16, 11:10 - 29/5/2015 , SY Jamaica Dianne, TAMBO Rommelia , HSU Hui-Tsun, WANG Yi-Ju ,0, 3
Women's Doubles , 16, 11:10 - 29/5/2015 , JI Eunchae, LEE Eunhye ^ , SO Eka, TSUCHIDA Mika ,3, 0
Women's Doubles ,Quarter Final, 20:10 - 29/5/2015 , JEON Jihee ^, YANG Haeun , MATSUMOTO Yuki, NAKAJIMA Misaki ,3, 1
Women's Doubles ,Quarter Final, 20:10 - 29/5/2015 , LIU Qi, MAK Tze Wing , LEE Eunhee, LEE Yearam ,1, 3
Women's Doubles ,Quarter Final, 20:10 - 29/5/2015 , JI Eunchae, LEE Eunhye ^ , LEE Ho Ching, ZHU Chengzhu ^ ,1, 3
Women's Doubles ,Semi Final, 11:10 - 30/5/2015 , JEON Jihee ^, YANG Haeun , LEE Eunhee, LEE Yearam ,3, 1
Women's Doubles ,Semi Final, 11:10 - 30/5/2015 , HSU Hui-Tsun, WANG Yi-Ju , LEE Ho Ching, ZHU Chengzhu ^ ,0, 3
