项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
wstm2,130751,2/5 13:00,UKRAINE 0:3 KOREA DPR,PESOTSKA Margaryta ,RI Myong Sun ,0,3
wstm2,130751,2/5 13:00,,BILENKO Tetyana ,RI Mi Gyong ,0,3
wstm2,130751,2/5 13:00,,GAPONOVA Ganna ,KIM Jong ,1,3
wstm2,130752,2/5 13:00,KOREA REPUBLIC 2:3 ROMANIA,SEO Hyowon ,SZOCS Bernadette ,3,1
wstm2,130752,2/5 13:00,,YANG Haeun ,SAMARA Elizabeta ,2,3
wstm2,130752,2/5 13:00,,SEOK Hajung ,MONTEIRO DODEAN Daniela ,2,3
wstm2,130752,2/5 13:00,,SEO Hyowon ,SAMARA Elizabeta ,3,1
wstm2,130752,2/5 13:00,,YANG Haeun ,SZOCS Bernadette ,2,3
wstm2,130755,2/5 16:30,BELARUS 0:3 GERMANY,PAVLOVICH Viktoria ,WINTER Sabine ,1,3
wstm2,130755,2/5 16:30,,PRIVALOVA Alexandra ,IVANCAN Irene ,2,3
wstm2,130755,2/5 16:30,,DUBKOVA Elena ,SOLJA Petrissa ,0,3
wstm2,130756,2/5 13:00,NETHERLANDS 3:0 CHINESE TAIPEI,LI Jiao ,HUANG Yi-Hua ,3,1
wstm2,130756,2/5 13:00,,LI Jie ,CHENG I-Ching ,3,2
wstm2,130756,2/5 13:00,,EERLAND Britt ,CHEN Szu-Yu ,3,0
wstm2,130758,3/5 16:00,CHINA 3:0 KOREA DPR,LI Xiaoxia ,RI Mi Gyong ,3,0
wstm2,130758,3/5 16:00,,LIU Shiwen ,RI Myong Sun ,3,0
wstm2,130758,3/5 16:00,,ZHU Yuling ,KIM Jong ,3,1
wstm2,130760,3/5 10:00,HONG KONG 3:0 GERMANY,LEE Ho Ching ,SOLJA Petrissa ,3,1
wstm2,130760,3/5 10:00,,JIANG Huajun ,IVANCAN Irene ,3,2
wstm2,130760,3/5 10:00,,NG Wing Nam ,WINTER Sabine ,3,0
wstm2,130761,3/5 19:00,JAPAN 3:2 NETHERLANDS,HIRANO Sayaka ,EERLAND Britt ,3,1
wstm2,130761,3/5 19:00,,ISHIKAWA Kasumi ,LI Jiao ,2,3
wstm2,130761,3/5 19:00,,ISHIGAKI Yuka ,LI Jie ,3,1
wstm2,130761,3/5 19:00,,HIRANO Sayaka ,LI Jiao ,2,3
wstm2,130761,3/5 19:00,,ISHIKAWA Kasumi ,EERLAND Britt ,3,2
wstm2,130762,4/5 13:00,SINGAPORE 0:3 CHINA,FENG Tianwei ,LI Xiaoxia ,1,3
wstm2,130762,4/5 13:00,,YU Mengyu ,DING Ning ,0,3
wstm2,130762,4/5 13:00,,LI Isabelle Siyun ,ZHU Yuling ,0,3
wstm2,130763,4/5 19:30,HONG KONG 1:3 JAPAN,LEE Ho Ching ,ISHIGAKI Yuka ,3,0
wstm2,130763,4/5 19:30,,JIANG Huajun ,ISHIKAWA Kasumi ,2,3
wstm2,130763,4/5 19:30,,NG Wing Nam ,HIRANO Sayaka ,2,3
wstm2,130763,4/5 19:30,,LEE Ho Ching ,ISHIKAWA Kasumi ,2,3
wstm2,130764,5/5 19:30,CHINA 3:0 JAPAN,DING Ning ,ISHIGAKI Yuka ,3,1
wstm2,130764,5/5 19:30,,LI Xiaoxia ,ISHIKAWA Kasumi ,3,0
wstm2,130764,5/5 19:30,,LIU Shiwen ,HIRANO Sayaka ,3,0
